date,price,volume
2019-12-23,0.03497,67578.49
2019-12-24,0.03396,46009.41
2019-12-25,0.03459,72723.79
2019-12-26,0.03294,324058.18
2019-12-27,0.03528,80429.88
2019-12-28,0.03539,106667.69
2019-12-29,0.034,95020.27
2019-12-30,0.03277,280257.76
2019-12-31,0.03381,164456.62
2020-01-01,0.03437,226620.34
2020-01-02,0.03461,156772.98
2020-01-03,0.03493,41438.34
2020-01-04,0.03465,151693.25
2020-01-05,0.03737,203686.46
2020-01-06,0.03717,313041.42
2020-01-07,0.03647,428113.13
2020-01-08,0.0364,157489.31
2020-01-09,0.03707,163206.37
2020-01-10,0.03721,89315.72
2020-01-11,0.03837,47102.19
2020-01-12,0.03724,81969.4
2020-01-13,0.04174,555998.79
2020-01-14,0.04282,813852.57
2020-01-15,0.04156,232729.47
2020-01-16,0.04503,773446.88
2020-01-17,0.04497,462040.38
2020-01-18,0.04227,233196.57
2020-01-19,0.04521,170968.57
2020-01-20,0.0463,361902.42
2020-01-21,0.04604,160209.56
2020-01-22,0.04339,254368.09
2020-01-23,0.0454,175018.28
2020-01-24,0.04388,61838.29
2020-01-25,0.04489,118208.31
2020-01-26,0.04774,623218.22
2020-01-27,0.05309,1423515.64
2020-01-28,0.05319,928172.43
2020-01-29,0.05607,671602.3
2020-01-30,0.05383,485390.54
2020-01-31,0.05612,282630.11
2020-02-01,0.05578,489070.9
2020-02-02,0.05704,327418.3
2020-02-03,0.05607,419354.46
2020-02-04,0.05925,529425.84
2020-02-05,0.05999,552410.24
2020-02-06,0.05981,544220.74
2020-02-07,0.06017,781090.92
2020-02-08,0.06214,728032.14
2020-02-09,0.06034,438389.25
2020-02-10,0.06383,710965.65
2020-02-11,0.06833,1307172.84
2020-02-12,0.06894,1296384.03
2020-02-13,0.07083,635897.58
2020-02-14,0.06423,1203187.7
2020-02-15,0.06216,1290746.12
2020-02-16,0.06024,576147.9
2020-02-17,0.0629,758307.41
2020-02-18,0.0575,755361.17
2020-02-19,0.05827,649180.23
2020-02-20,0.05915,288494.07
2020-02-21,0.05887,85980.1
2020-02-22,0.06192,350409.55
2020-02-23,0.05925,335493.99
2020-02-24,0.05659,293107.28
2020-02-25,0.04928,1580873.2
2020-02-26,0.04955,685890.46
2020-02-27,0.04902,443357.96
2020-02-28,0.04765,99813.05
2020-02-29,0.04595,695238.97
2020-03-01,0.0493,467822.67
2020-03-02,0.0487,187121.33
2020-03-03,0.04887,344249.73
2020-03-04,0.05107,415716.19
2020-03-05,0.0517,195385.47
2020-03-06,0.04895,174857.34
2020-03-07,0.04274,476975.52
2020-03-08,0.04154,954527.06
2020-03-09,0.04136,311080.55
2020-03-10,0.03975,545347.28
2020-03-11,0.02319,1375690.44
2020-03-12,0.02845,1533719.66
2020-03-13,0.0257,271252.88
2020-03-14,0.02695,670820.7
2020-03-15,0.02419,515590.63
2020-03-16,0.02598,341779.85
2020-03-17,0.02616,245942.55
2020-03-18,0.03047,861847.33
2020-03-19,0.02937,807184.84
2020-03-20,0.02943,228508.29
2020-03-21,0.02716,380292.09
2020-03-22,0.02914,353072.15
2020-03-23,0.03029,462494.38
2020-03-24,0.02949,365952.66
2020-03-25,0.03095,171775.15
2020-03-26,0.02888,295475.88
2020-03-27,0.02992,279579.29
2020-03-28,0.02822,164808.06
2020-03-29,0.02972,345774.55
2020-03-30,0.03057,150662.16
2020-03-31,0.03093,328637.59
2020-04-01,0.03194,328975.87
2020-04-02,0.03226,246945.63
2020-04-03,0.0325,68451.12
2020-04-04,0.032,196941.4
2020-04-05,0.03605,438259.51
2020-04-06,0.03518,634861.73
2020-04-07,0.03652,253223.45
2020-04-08,0.03619,158229.65
2020-04-09,0.03316,282795.19
2020-04-10,0.03353,129597.49
2020-04-11,0.03354,226076.45
2020-04-12,0.0332,225832.62
2020-04-13,0.03313,101800.73
2020-04-14,0.03185,72593.31
2020-04-15,0.03441,383523.89
2020-04-16,0.03448,108285.04
2020-04-17,0.0366,210391.05
2020-04-18,0.03561,139710.57
2020-04-19,0.03401,386024.95
2020-04-20,0.03464,199393.59
2020-04-21,0.03666,228778.89
2020-04-22,0.04085,600387.42
2020-04-23,0.04169,789964.5
2020-04-24,0.04214,426398.54
2020-04-25,0.04593,510599.41
2020-04-26,0.04658,581013.33
2020-04-27,0.047,494603.43
2020-04-28,0.05155,1031611.01
2020-04-29,0.0475,1849363.99
2020-04-30,0.05101,791364.41
2020-05-01,0.05097,372480.75
2020-05-02,0.04899,537651.26
2020-05-03,0.04957,1122362.05
2020-05-04,0.04953,305533.03
2020-05-05,0.04907,482151.53
2020-05-06,0.05131,575067.21
2020-05-07,0.0521,657583.89
2020-05-08,0.05151,364478.54
2020-05-09,0.04767,1557387.67
2020-05-10,0.04796,1032825.53
2020-05-11,0.05049,717016.97
2020-05-12,0.05168,1250991.28
2020-05-13,0.05111,860175.88
2020-05-14,0.05025,759463.05
2020-05-15,0.05097,468756.76
2020-05-16,0.05136,637898.37
2020-05-17,0.05422,987478.07
2020-05-18,0.05682,1116186.46
2020-05-19,0.05692,1017443.28
2020-05-20,0.05221,2015741.97
2020-05-21,0.05578,1218448.34
2020-05-22,0.05498,730048.59
