date,price,volume
2019-12-23,13.35,10283892.91
2019-12-24,12.89,1931670.52
2019-12-25,13.15,8196364.81
2019-12-26,13.3,8554567.65
2019-12-27,15.39,1917482.59
2019-12-28,15.35,2112228.28
2019-12-29,13.83,15714287.8
2019-12-30,13.7,14359644.9
2019-12-31,13.68,13507451.87
2020-01-01,13.0,10215864.91
2020-01-02,13.65,10128577.76
2020-01-03,13.8,14169739.59
2020-01-04,14.04,18614012.34
2020-01-05,14.96,20367995.24
2020-01-06,15.04,13178933.73
2020-01-07,14.52,14115907.76
2020-01-08,14.35,14878126.96
2020-01-09,15.06,16942406.25
2020-01-10,14.93,19128935.2
2020-01-11,15.33,20279477.63
2020-01-12,15.18,15571943.84
2020-01-13,16.63,22293880.21
2020-01-14,17.62,34361483.17
2020-01-15,17.04,18918317.14
2020-01-16,18.04,30185243.79
2020-01-17,17.78,21802821.06
2020-01-18,17.39,17649169.41
2020-01-19,17.29,17897576.97
2020-01-20,18.08,23850378.83
2020-01-21,17.8,17849163.57
2020-01-22,17.03,14005125.35
2020-01-23,17.07,14458751.47
2020-01-24,16.51,2197029.41
2020-01-25,17.48,15962036.76
2020-01-26,17.65,12875854.54
2020-01-27,18.1,13395989.4
2020-01-28,17.87,14182237.09
2020-01-29,18.55,18969852.71
2020-01-30,18.25,15297935.72
2020-01-31,18.24,13520652.48
2020-02-01,18.44,16284966.84
2020-02-02,18.44,14380471.78
2020-02-03,18.13,12291777.85
2020-02-04,19.26,24242522.47
2020-02-05,20.63,33496597.71
2020-02-06,22.04,43446434.98
2020-02-07,21.79,29600079.15
2020-02-08,24.35,43090329.03
2020-02-09,25.13,65958088.55
2020-02-10,25.81,48968929.73
2020-02-11,26.48,46433313.85
2020-02-12,25.46,46232633.8
2020-02-13,26.42,51394347.21
2020-02-14,24.25,47068409.58
2020-02-15,23.36,46837518.66
2020-02-16,23.48,44878029.81
2020-02-17,24.1,37126071.24
2020-02-18,22.37,25574692.81
2020-02-19,22.19,26057410.68
2020-02-20,22.21,29887952.88
2020-02-21,22.01,23944511.77
2020-02-22,22.94,36065690.69
2020-02-23,22.08,24356990.68
2020-02-24,20.33,22929625.52
2020-02-25,18.75,27066185.62
2020-02-26,19.17,37251009.86
2020-02-27,19.08,30880959.44
2020-02-28,19.29,42483473.56
