date,price,volume
2019-12-23,7260.91,203013413.87
2019-12-24,7202.72,108513256.34
2019-12-25,7207.23,169067214.27
2019-12-26,7253.82,183588691.22
2019-12-27,7316.23,106581355.23
2019-12-28,7399.49,135257936.53
2019-12-29,7234.44,168180498.67
2019-12-30,7183.88,140384995.27
2019-12-31,7189.94,85986188.11
2020-01-01,6965.72,187393954.35
2020-01-02,7339.7,376690440.38
2020-01-03,7357.5,162106895.05
2020-01-04,7359.96,179147746.87
2020-01-05,7762.69,352286216.6
2020-01-06,8160.36,600054472.25
2020-01-07,8045.15,699004342.7
2020-01-08,7817.35,316199456.84
2020-01-09,8190.31,441131626.25
2020-01-10,8024.58,250060123.9
2020-01-11,8181.49,142197585.82
2020-01-12,8106.56,184437465.66
2020-01-13,8820.95,768098459.01
2020-01-14,8813.21,441186933.78
2020-01-15,8719.63,290989712.92
2020-01-16,8894.83,432856377.78
2020-01-17,8909.28,176837362.25
2020-01-18,8702.59,421483277.31
2020-01-19,8634.03,189247381.47
2020-01-20,8724.84,196404470.17
2020-01-21,8667.26,149906743.85
2020-01-22,8394.28,323273085.37
2020-01-23,8431.78,233502998.73
2020-01-24,8345.88,119345600.29
2020-01-25,8602.37,189985702.21
2020-01-26,8898.94,329416202.64
2020-01-27,9391.97,471220882.55
2020-01-28,9286.18,345265419.21
2020-01-29,9501.38,430815723.66
2020-01-30,9342.23,292627757.98
2020-01-31,9384.45,138614091.6
2020-02-01,9334.25,225322638.39
2020-02-02,9288.96,312315107.48
2020-02-03,9171.98,244997961.95
2020-02-04,9611.42,448381299.88
2020-02-05,9755.84,410313693.85
2020-02-06,9808.36,249852208.28
2020-02-07,9898.25,244352034.45
2020-02-08,10157.78,340301629.71
2020-02-09,9858.03,406256357.82
2020-02-10,10269.43,495614708.0
2020-02-11,10347.93,449510878.91
2020-02-12,10233.32,507955951.95
2020-02-13,10360.37,297409586.88
2020-02-14,9905.43,300819428.52
2020-02-15,9925.51,272176494.52
2020-02-16,9702.48,359702988.14
2020-02-17,10182.6,382869718.91
2020-02-18,9602.43,473100344.44
2020-02-19,9608.8,352949373.64
2020-02-20,9697.86,293546157.49
2020-02-21,9671.46,118171544.81
2020-02-22,9977.39,228093371.59
2020-02-23,9664.21,331102536.15
2020-02-24,9316.18,329372824.71
2020-02-25,8793.5,588359496.49
2020-02-26,8821.5,413657559.37
2020-02-27,8719.29,360795192.37
2020-02-28,8545.45,146455562.43
2020-02-29,8549.38,219324311.08
2020-03-01,8919.74,290280969.41
2020-03-02,8765.68,252211805.89
2020-03-03,8773.78,194233894.05
2020-03-04,9074.82,305196274.33
2020-03-05,9160.39,192168163.64
2020-03-06,8903.72,187063951.77
2020-03-07,8057.67,533371350.28
2020-03-08,7944.4,682781069.24
2020-03-09,7894.66,427332546.47
2020-03-10,7945.36,372704355.27
2020-03-11,4916.78,1769476928.68
2020-03-12,5632.58,1663092005.9
2020-03-13,5181.77,474539626.45
2020-03-14,5357.02,568696762.62
2020-03-15,5045.0,996661883.31
