date,price,volume
2019-12-23,127.86,245133666.21
2019-12-24,124.97,241861348.44
2019-12-25,125.62,254385658.57
2019-12-26,126.36,267596594.43
2019-12-27,128.18,233763025.26
2019-12-28,134.67,344231138.15
2019-12-29,131.45,353560386.98
2019-12-30,129.02,285823337.69
2019-12-31,130.57,204356870.2
2020-01-01,127.05,287644676.75
2020-01-02,134.24,451528498.69
2020-01-03,134.2,253723528.41
2020-01-04,135.5,302251466.14
2020-01-05,144.15,423649231.45
2020-01-06,142.89,510138083.37
2020-01-07,140.47,578716722.57
2020-01-08,137.74,354683815.63
2020-01-09,144.8,454563935.2
2020-01-10,142.52,371061707.86
2020-01-11,146.37,290506599.97
2020-01-12,143.49,290088936.06
2020-01-13,165.66,1152190450.5
2020-01-14,166.04,862754656.84
2020-01-15,164.1,527507989.45
2020-01-16,169.98,767710921.71
2020-01-17,173.91,866424830.99
2020-01-18,166.92,662472107.99
2020-01-19,166.64,361336568.0
2020-01-20,169.09,370220822.27
2020-01-21,167.97,301566807.31
2020-01-22,162.51,386312306.91
2020-01-23,162.4,377435884.53
2020-01-24,160.66,222457869.05
2020-01-25,167.66,292233443.69
2020-01-26,169.7,416247047.32
2020-01-27,175.82,569377601.02
2020-01-28,173.47,397823150.89
2020-01-29,184.42,565568199.28
2020-01-30,179.65,487674049.61
2020-01-31,183.65,397838510.97
2020-02-01,188.37,725534844.29
2020-02-02,189.68,547997589.0
2020-02-03,188.39,512203474.25
2020-02-04,203.86,806325046.18
2020-02-05,212.87,925819964.93
2020-02-06,223.24,719675881.29
2020-02-07,223.21,714799127.35
2020-02-08,228.65,505028036.14
2020-02-09,223.19,594846674.44
2020-02-10,237.74,943842318.04
2020-02-11,265.94,1638802974.73
2020-02-12,268.52,1410279798.58
2020-02-13,285.64,1218082692.61
2020-02-14,264.67,1228225789.25
2020-02-15,259.95,1235093246.39
2020-02-16,267.5,1379015768.38
2020-02-17,283.08,1452489694.04
2020-02-18,258.79,807153589.68
2020-02-19,257.71,966650959.83
2020-02-20,265.62,912166977.09
2020-02-21,262.1,456762597.05
2020-02-22,275.58,721610483.07
2020-02-23,265.86,472525409.3
2020-02-24,246.79,793992744.73
2020-02-25,223.97,1141439327.42
2020-02-26,227.59,1074277672.87
2020-02-27,227.75,956885208.27
2020-02-28,217.91,1147393678.32
2020-02-29,218.27,889328823.45
2020-03-01,232.09,960775712.96
2020-03-02,223.96,1030922185.77
2020-03-03,224.87,782099795.13
2020-03-04,228.78,798259018.15
2020-03-05,245.68,948818789.11
2020-03-06,237.64,930388899.37
2020-03-07,199.75,883552623.46
2020-03-08,203.06,902545227.85
2020-03-09,200.6,900211302.18
2020-03-10,194.82,862475052.76
2020-03-11,110.23,866028497.69
2020-03-12,135.18,1484342374.16
2020-03-13,122.7,378141871.11
2020-03-14,123.64,452622446.96
2020-03-15,111.34,662853450.74
2020-03-16,116.2,515981234.12
2020-03-17,118.6,418382877.77
2020-03-18,136.81,537587654.84
2020-03-19,133.31,553741275.76
2020-03-20,132.83,359011975.68
2020-03-21,122.51,309805765.33
2020-03-22,136.64,234709856.11
2020-03-23,139.0,235170035.84
2020-03-24,136.23,175760951.78
2020-03-25,138.81,162254253.25
2020-03-26,131.68,154633712.05
2020-03-27,131.24,163822790.2
2020-03-28,124.53,112330013.27
2020-03-29,132.29,154854263.42
2020-03-30,133.1,117010142.69
2020-03-31,136.07,196140910.28
2020-04-01,141.46,257461293.94
2020-04-02,141.48,200026090.18
2020-04-03,144.53,151966376.58
2020-04-04,142.82,107344500.8
2020-04-05,171.78,445136319.82
2020-04-06,164.7,441638538.53
2020-04-07,173.21,288902140.84
2020-04-08,169.89,213503155.75
2020-04-09,158.16,332080651.73
2020-04-10,158.55,204612645.49
2020-04-11,158.81,190086914.77
2020-04-12,156.81,236456264.65
2020-04-13,158.64,178860313.52
2020-04-14,152.94,197615790.67
2020-04-15,172.6,500930041.32
2020-04-16,170.79,266277387.19
2020-04-17,187.85,413517308.96
2020-04-18,180.32,347883867.33
2020-04-19,170.65,403179001.07
2020-04-20,171.03,261076182.64
2020-04-21,183.02,286183673.61
2020-04-22,185.73,372633155.6
2020-04-23,187.66,240182435.87
2020-04-24,194.41,303289064.0
2020-04-25,197.62,250644973.85
2020-04-26,196.71,258049806.65
2020-04-27,196.88,206733185.38
2020-04-28,215.58,481510851.06
2020-04-29,206.44,470224989.05
2020-04-30,212.16,341543226.1
2020-05-01,214.11,179197523.23
2020-05-02,210.12,270043070.91
2020-05-03,206.76,318236765.14
2020-05-04,205.43,201692537.2
2020-05-05,199.08,341816428.45
2020-05-06,212.3,588968967.49
2020-05-07,211.46,404185499.74
2020-05-08,210.19,380138715.1
2020-05-09,187.72,499697462.27
2020-05-10,185.77,409270199.69
2020-05-11,190.1,253560918.33
2020-05-12,199.86,248583222.72
2020-05-13,203.31,397775930.68
2020-05-14,194.71,303712134.51
2020-05-15,200.6,245295750.07
2020-05-16,206.76,214183380.54
2020-05-17,214.68,303053831.14
2020-05-18,214.68,214104443.63
2020-05-19,209.87,187926919.47
2020-05-20,198.56,115900478.36
2020-05-21,207.35,203883969.7
2020-05-22,206.78,158295000.8
2020-05-23,199.91,193178180.87
2020-05-24,204.2,201016206.46
2020-05-25,201.04,187471648.97
2020-05-26,208.3,166790102.34
2020-05-27,220.33,221217298.51
2020-05-28,220.63,229023699.89
2020-05-29,243.66,401336258.16
2020-05-30,231.54,281521659.77
2020-05-31,248.44,366906124.23
2020-06-01,237.81,360122023.75
2020-06-02,244.65,157079114.17
2020-06-03,243.35,90413005.89
2020-06-04,240.08,74553973.27
2020-06-05,242.08,46231144.22
2020-06-06,244.75,84241162.44
2020-06-07,246.47,65548033.56
2020-06-08,244.0,75833901.79
2020-06-09,248.01,86962964.42
2020-06-10,230.21,163068331.34
2020-06-11,237.54,89734985.04
2020-06-12,238.21,37591086.28
2020-06-13,231.61,70815323.17
2020-06-14,230.98,153345723.13
2020-06-15,235.35,68381514.54
2020-06-16,233.74,173917879.04
2020-06-17,231.14,273554189.76
2020-06-18,228.83,126984439.23
2020-06-19,228.93,101863954.88
2020-06-20,227.95,90728932.75
2020-06-21,243.3,129354691.96
2020-06-22,243.11,154096213.24
2020-06-23,234.56,126699284.93
2020-06-24,232.35,84427974.15
2020-06-25,229.5,175646529.66
2020-06-26,220.77,192053080.2
2020-06-27,224.82,160427791.91
2020-06-28,227.84,224693888.65
2020-06-29,225.49,171575809.95
2020-06-30,231.06,190036327.93
2020-07-01,226.59,330209737.79
2020-07-02,225.12,261884352.33
2020-07-03,229.19,255496390.55
2020-07-04,228.03,232611581.25
2020-07-05,241.81,511159054.2
2020-07-06,239.39,325137300.06
2020-07-07,247.02,446444658.34
2020-07-08,242.15,202935600.75
2020-07-09,241.22,128868072.5
2020-07-10,239.24,104005761.96
2020-07-11,242.66,136986885.16
2020-07-12,239.54,167491682.32
2020-07-13,240.47,133683082.42
2020-07-14,238.47,121931757.09
2020-07-15,233.61,82733057.02
2020-07-16,232.77,119410906.81
2020-07-17,235.85,105902192.47
2020-07-18,239.16,118084690.77
2020-07-19,236.17,144874959.58
2020-07-20,245.87,95966343.65
2020-07-21,264.18,237610574.74
2020-07-22,275.65,227497042.4
2020-07-23,279.6,170698826.04
2020-07-24,305.67,218403404.71
2020-07-25,311.47,226259900.31
2020-07-26,322.23,743147491.93
2020-07-27,317.5,532201296.09
2020-07-28,318.14,341878677.37
2020-07-29,335.3,402895123.47
2020-07-30,346.94,468835268.22
2020-07-31,387.45,722568267.48
2020-08-01,371.93,483607413.35
2020-08-02,386.25,603703192.02
2020-08-03,389.79,263396168.06
2020-08-04,400.98,464468861.15
2020-08-05,395.04,365262534.14
2020-08-06,379.57,238575183.71
2020-08-07,397.56,116573197.91
2020-08-08,390.28,130828493.0
2020-08-09,395.71,378431781.83
2020-08-10,378.94,211575268.55
2020-08-11,387.19,165583849.9
2020-08-12,424.97,326856513.91
