date,price,volume
2019-12-23,1.844,1225240.51
2019-12-24,1.784,1211043.63
2019-12-25,1.855,1998946.88
2019-12-26,1.874,1637283.19
2019-12-27,1.872,802266.48
2019-12-28,1.902,1081281.01
2019-12-29,1.819,895833.09
2019-12-30,1.76,1955148.0
2019-12-31,1.802,960928.53
2020-01-01,1.735,1181221.59
2020-01-02,1.8,1445318.09
2020-01-03,1.825,698982.89
2020-01-04,1.798,737169.72
2020-01-05,1.938,2214136.58
2020-01-06,2.109,5925500.41
2020-01-07,2.192,9761049.99
2020-01-08,2.196,3150237.62
2020-01-09,2.231,4150151.65
2020-01-10,2.28,4469955.21
2020-01-11,2.241,2137626.78
2020-01-12,2.19,2132339.14
2020-01-13,2.381,8243356.2
2020-01-14,2.4,7910920.91
2020-01-15,2.49,5367020.84
2020-01-16,2.69,13924557.95
2020-01-17,2.77,5286754.46
2020-01-18,2.623,7265106.18
2020-01-19,2.691,3590545.49
2020-01-20,2.67,3396012.8
2020-01-21,2.635,1876755.87
2020-01-22,2.467,5530420.41
2020-01-23,2.5,3681968.75
2020-01-24,2.445,1501984.25
2020-01-25,2.57,2080215.95
2020-01-26,2.601,3342339.15
2020-01-27,2.656,2761839.9
2020-01-28,2.773,6085112.36
2020-01-29,2.913,6777104.19
2020-01-30,2.815,3227480.43
2020-01-31,2.838,2995711.33
2020-02-01,2.822,2649348.03
2020-02-02,2.774,2541587.63
2020-02-03,2.735,2621899.33
2020-02-04,2.835,3929468.91
2020-02-05,2.891,4094592.64
2020-02-06,3.307,18243172.46
2020-02-07,3.425,10450235.89
2020-02-08,3.511,9669417.5
2020-02-09,3.382,8136018.93
2020-02-10,4.038,19710311.66
2020-02-11,4.006,27224144.65
2020-02-12,3.876,12644139.15
2020-02-13,4.442,19766304.93
2020-02-14,4.319,28481193.52
2020-02-15,4.477,33034135.69
2020-02-16,4.303,25717528.65
2020-02-17,4.566,17005618.75
2020-02-18,4.396,24574679.53
2020-02-19,4.272,16749842.24
2020-02-20,4.277,11232832.23
2020-02-21,4.118,7750508.29
2020-02-22,4.262,7178588.36
2020-02-23,3.92,15014211.28
2020-02-24,3.489,15996026.86
2020-02-25,3.564,24075520.35
2020-02-26,3.951,20594976.24
2020-02-27,4.18,17877155.93
2020-02-28,4.068,14479029.2
2020-02-29,3.864,16719273.9
2020-03-01,4.232,15770018.04
2020-03-02,4.597,19743034.45
2020-03-03,4.644,31841654.57
2020-03-04,4.723,18031593.27
2020-03-05,4.701,10473443.59
2020-03-06,4.36,10284292.55
