date,price,volume
2019-12-23,0.1907,19418220.58
2019-12-24,0.1885,8098593.24
2019-12-25,0.1893,13700838.35
2019-12-26,0.19,13148022.9
2019-12-27,0.1931,11315626.4
2019-12-28,0.1968,10415160.49
2019-12-29,0.1928,14558967.52
2019-12-30,0.1927,11390092.02
2019-12-31,0.1931,6508381.07
2020-01-01,0.1874,16227270.33
2020-01-02,0.1933,21351468.0
2020-01-03,0.193,9034906.41
2020-01-04,0.1947,12275800.6
2020-01-05,0.2234,47899625.58
2020-01-06,0.2138,39412547.87
2020-01-07,0.2074,33147422.31
2020-01-08,0.2037,21725855.65
2020-01-09,0.2128,27690296.32
2020-01-10,0.2115,27649796.14
2020-01-11,0.2152,13796756.56
2020-01-12,0.2115,16981062.37
2020-01-13,0.2348,61917838.19
2020-01-14,0.2335,46869868.73
2020-01-15,0.229,33675961.69
2020-01-16,0.2388,43794283.31
2020-01-17,0.2432,39655120.49
2020-01-18,0.2356,31263836.5
2020-01-19,0.2327,26508828.8
2020-01-20,0.2367,30830253.66
2020-01-21,0.2369,23417447.52
2020-01-22,0.2253,30739244.83
2020-01-23,0.2221,33391948.29
2020-01-24,0.2193,13180842.72
2020-01-25,0.2308,14857488.72
2020-01-26,0.2304,23085404.44
2020-01-27,0.2396,33311631.24
2020-01-28,0.235,29438975.61
2020-01-29,0.2433,39561517.55
2020-01-30,0.2391,32853125.44
2020-01-31,0.2412,19418428.87
2020-02-01,0.2509,38374889.75
2020-02-02,0.2544,36130850.68
2020-02-03,0.2661,65468678.05
2020-02-04,0.2778,81625720.43
2020-02-05,0.2828,65609590.0
2020-02-06,0.2791,41997538.99
2020-02-07,0.2776,33967098.49
2020-02-08,0.2827,30932752.55
2020-02-09,0.2733,44050653.92
2020-02-10,0.2822,53687215.33
2020-02-11,0.305,94184429.79
2020-02-12,0.3276,166862453.12
2020-02-13,0.3363,86828879.11
2020-02-14,0.3075,87096479.56
2020-02-15,0.293,73128038.35
2020-02-16,0.2873,61550047.88
2020-02-17,0.2985,68807310.89
2020-02-18,0.2748,80143005.0
2020-02-19,0.2713,60641661.44
2020-02-20,0.2744,43232161.72
2020-02-21,0.2754,23682809.84
2020-02-22,0.284,26608267.94
2020-02-23,0.2705,47135733.0
2020-02-24,0.2522,54980353.02
2020-02-25,0.229,80540545.08
2020-02-26,0.2381,63137376.0
2020-02-27,0.2371,54667099.19
2020-02-28,0.2291,29343322.46
2020-02-29,0.2273,27438172.53
2020-03-01,0.2397,29854746.25
2020-03-02,0.2342,31050114.71
2020-03-03,0.2347,32357349.26
2020-03-04,0.2395,46185980.98
2020-03-05,0.2452,30571137.35
2020-03-06,0.2367,25201942.27
2020-03-07,0.204,47581073.98
2020-03-08,0.2095,60400614.82
2020-03-09,0.2116,44981065.31
2020-03-10,0.2081,47385528.03
2020-03-11,0.1385,134922060.07
2020-03-12,0.1602,107285659.6
2020-03-13,0.1457,24805660.21
2020-03-14,0.1528,29059842.28
2020-03-15,0.1413,62950351.79
2020-03-16,0.1477,47502393.21
2020-03-17,0.148,37270988.56
2020-03-18,0.1653,61008011.96
2020-03-19,0.1568,55810476.97
2020-03-20,0.1582,27740822.25
2020-03-21,0.1478,24098065.07
2020-03-22,0.159,40143423.4
2020-03-23,0.1629,50485791.15
2020-03-24,0.1621,43430468.02
2020-03-25,0.1767,54496828.34
2020-03-26,0.1728,63807058.83
2020-03-27,0.1759,41692443.94
2020-03-28,0.1627,27222051.96
2020-03-29,0.1716,38151879.9
2020-03-30,0.1738,37178734.5
2020-03-31,0.1755,46212579.07
2020-04-01,0.1785,50065848.29
2020-04-02,0.1798,39303660.59
2020-04-03,0.1816,26148613.77
2020-04-04,0.1795,12352748.5
2020-04-05,0.1985,54187506.47
2020-04-06,0.1929,66220552.64
2020-04-07,0.2023,51749652.07
2020-04-08,0.1983,43074063.73
2020-04-09,0.1878,45764649.94
2020-04-10,0.189,24503146.78
2020-04-11,0.1897,23110361.94
2020-04-12,0.1882,36205099.06
2020-04-13,0.1862,37796963.38
2020-04-14,0.1805,49143151.12
2020-04-15,0.1907,66819928.45
2020-04-16,0.1886,48501838.07
2020-04-17,0.1958,28104243.98
2020-04-18,0.1893,17936870.42
2020-04-19,0.1819,59107698.01
